movie1	movie2	class
Prometheus	Body of Lies	director in common
Prometheus	G.I. Jane	director in common
Prometheus	White Squall	director in common
Prometheus	A Good Year	director in common
Prometheus	Black Rain	director in common
Prometheus	Blade Runner	director in common
Prometheus	The Counselor	director in common
Prometheus	Alien	director in common
Stuart Little 2	Stuart Little	director in common
Stuart Little 2	The Haunted Mansion	director in common
Stuart Little 2	The Forbidden Kingdom	director in common
Elysium	Chappie	director in common
Elysium	District 9	director in common
The Chronicles of Riddick	Riddick	director in common
The Chronicles of Riddick	Pitch Black	director in common
The Chronicles of Riddick	A Perfect Getaway	director in common
RoboCop	Elite Squad	director in common
Speed Racer	The Matrix	director in common
Speed Racer	Bound	director in common
How Do You Know	Spanglish	director in common
How Do You Know	As Good as It Gets	director in common
Knight and Day	The Wolverine	director in common
Knight and Day	The Alamo	 2 actors in common
Knight and Day	Kate & Leopold	director in common
Knight and Day	3:10 to Yuma	director in common
Knight and Day	Walk the Line	director in common
Knight and Day	Identity	director in common
Knight and Day	Girl, Interrupted	director in common
Knight and Day	Cop Land	director in common
Oblivion	Destiny	director in common
Star Wars: Episode III - Revenge of the Sith	Star Wars: Episode II - Attack of the Clones	director and 3 actors in common
Star Wars: Episode III - Revenge of the Sith	Star Wars: Episode I - The Phantom Menace	director in common
Star Wars: Episode III - Revenge of the Sith	Star Wars: Episode IV - A New Hope	director in common
Star Wars: Episode III - Revenge of the Sith	American Graffiti	director in common
Star Wars: Episode II - Attack of the Clones	Star Wars: Episode I - The Phantom Menace	director in common
Star Wars: Episode II - Attack of the Clones	Star Wars: Episode IV - A New Hope	director in common
Star Wars: Episode II - Attack of the Clones	American Graffiti	director in common
The Wolverine	Kate & Leopold	director in common
The Wolverine	3:10 to Yuma	director in common
The Wolverine	Walk the Line	director in common
The Wolverine	Identity	director in common
The Wolverine	Girl, Interrupted	director in common
The Wolverine	Cop Land	director in common
Star Wars: Episode I - The Phantom Menace	Star Wars: Episode IV - A New Hope	director in common
Star Wars: Episode I - The Phantom Menace	American Graffiti	director in common
The Croods	Space Chimps	director in common
Windtalkers	Face/Off	director in common
Windtalkers	Broken Arrow	director in common
Windtalkers	Paycheck	director in common
Windtalkers	Red Cliff	director in common
Windtalkers	Adaptation.	 2 actors in common
Teenage Mutant Ninja Turtles	Battle Los Angeles	director in common
Teenage Mutant Ninja Turtles	The Texas Chainsaw Massacre: The Beginning	director in common
Teenage Mutant Ninja Turtles	Darkness Falls	director in common
Gravity	Children of Men	director in common
Gravity	Y Tu Mamá También	director in common
Dante's Peak	Thirteen Days	director in common
Dante's Peak	Species	director in common
Dante's Peak	The World's Fastest Indian	director in common
Dante's Peak	The Bank Job	director in common
Dante's Peak	The Bounty	director in common
Dante's Peak	The November Man	director in common
Teenage Mutant Ninja Turtles: Out of the Shadows	Earth to Echo	director in common
Fantastic Four	Chronicle	director in common
Night at the Museum	Real Steel	director in common
Night at the Museum	The Pink Panther	director in common
Night at the Museum	The Internship	director in common
Night at the Museum	Date Night	director in common
Night at the Museum	Cheaper by the Dozen	director in common
Night at the Museum	This Is Where I Leave You	director in common
Night at the Museum	Just Married	director in common
Night at the Museum	Big Fat Liar	director in common
San Andreas	Cats & Dogs: The Revenge of Kitty Galore	director in common
San Andreas	Journey 2: The Mysterious Island	director in common
Tomorrow Never Dies	The 6th Day	director in common
Tomorrow Never Dies	The Children of Huang Shi	director in common
Tomorrow Never Dies	The Pursuit of D.B. Cooper	director in common
The Patriot	Independence Day	director in common
The Patriot	Anonymous	director in common
The Patriot	Stonewall	director in common
Ocean's Twelve	Ocean's Eleven	director in common
Ocean's Twelve	Ocean's Thirteen	director in common
Ocean's Twelve	Contagion	director in common
Ocean's Twelve	Erin Brockovich	director in common
Ocean's Twelve	Traffic	director in common
Ocean's Twelve	Out of Sight	director in common
Ocean's Twelve	The Mexican	 2 actors in common
Ocean's Twelve	The Good German	director in common
Ocean's Twelve	Side Effects	director in common
Ocean's Twelve	Haywire	director in common
Ocean's Twelve	The Informant!	director in common
Ocean's Twelve	The Limey	director in common
Ocean's Twelve	Magic Mike	director in common
Ocean's Twelve	Full Frontal	director in common
Ocean's Twelve	Sex, Lies, and Videotape	director in common
Mr. & Mrs. Smith	Jumper	director in common
Mr. & Mrs. Smith	The Bourne Identity	director in common
Mr. & Mrs. Smith	Fair Game	director in common
Mr. & Mrs. Smith	By the Sea	 2 actors in common
Mr. & Mrs. Smith	Go	director in common
Mr. & Mrs. Smith	Swingers	director in common
Insurgent	Allegiant	director in common
Insurgent	Divergent	 3 actors in common
Insurgent	RED	director in common
Insurgent	Flightplan	director in common
Insurgent	The Time Traveler's Wife	director in common
The Aviator	The Wolf of Wall Street	director in common
The Aviator	Gangs of New York	director in common
The Aviator	The Departed	director in common
The Aviator	Shutter Island	director in common
The Aviator	Casino	director in common
The Aviator	Mean Streets	director in common
The Aviator	Cape Fear	director in common
The Aviator	The Age of Innocence	director in common
The Aviator	Bringing Out the Dead	director in common
The Aviator	Kundun	director in common
The Aviator	Goodfellas	director in common
The Aviator	Raging Bull	director in common
The Aviator	New York, New York	director in common
The Aviator	The Color of Money	director in common
The Aviator	The Last Temptation of Christ	director in common
The Aviator	Taxi Driver	director in common
The Aviator	Shine a Light	director in common
The Aviator	The Last Waltz	director in common
Gulliver's Travels	Goosebumps	director in common
The Green Hornet	Eternal Sunshine of the Spotless Mind	director in common
The Green Hornet	Be Kind Rewind	director in common
The Green Hornet	Dave Chappelle's Block Party	director in common
The Smurfs	The Smurfs 2	director in common
The Smurfs	Scooby-Doo	director in common
The Smurfs	Big Momma's House	director in common
The Smurfs	Scooby-Doo 2: Monsters Unleashed	director in common
The Smurfs	Beverly Hills Chihuahua	director in common
Home on the Range	Legends of Oz: Dorothy's Return	director in common
Allegiant	RED	director in common
Allegiant	Flightplan	director in common
Allegiant	The Time Traveler's Wife	director in common
Real Steel	The Pink Panther	director in common
Real Steel	The Internship	director in common
Real Steel	Date Night	director in common
Real Steel	Cheaper by the Dozen	director in common
Real Steel	This Is Where I Leave You	director in common
Real Steel	Just Married	director in common
Real Steel	Big Fat Liar	director in common
The Smurfs 2	Scooby-Doo	director in common
The Smurfs 2	Big Momma's House	director in common
The Smurfs 2	Scooby-Doo 2: Monsters Unleashed	director in common
The Smurfs 2	Beverly Hills Chihuahua	director in common
Speed 2: Cruise Control	Lara Croft Tomb Raider: The Cradle of Life	director in common
Speed 2: Cruise Control	Twister	director in common
Speed 2: Cruise Control	The Haunting	director in common
Speed 2: Cruise Control	Speed	director in common
Ender's Game	Rendition	director in common
Ender's Game	Tsotsi	director in common
Live Free or Die Hard	Underworld: Evolution	director in common
Live Free or Die Hard	Underworld	director in common
The Lord of the Rings: The Fellowship of the Ring	The Lovely Bones	director in common
The Lord of the Rings: The Fellowship of the Ring	The Lord of the Rings: The Return of the King	director and 2 actors in common
The Lord of the Rings: The Fellowship of the Ring	The Lord of the Rings: The Two Towers	director and 3 actors in common
The Lord of the Rings: The Fellowship of the Ring	Heavenly Creatures	director in common
Around the World in 80 Days	Click	director in common
Around the World in 80 Days	Zookeeper	director in common
Around the World in 80 Days	The Ridiculous 6	director in common
Around the World in 80 Days	Blended	director in common
Around the World in 80 Days	Here Comes the Boom	director in common
Around the World in 80 Days	The Waterboy	director in common
Ali	Public Enemies	director in common
Ali	Blackhat	director in common
Ali	The Insider	director in common
Ali	Collateral	director in common
Ali	The Last of the Mohicans	director in common
Ali	The Inkwell	 2 actors in common
I, Robot	Knowing	director in common
I, Robot	The Crow	director in common
I, Robot	Dark City	director in common
Kingdom of Heaven	The Martian	director in common
Kingdom of Heaven	Gladiator	director in common
Kingdom of Heaven	American Gangster	director in common
Kingdom of Heaven	Black Hawk Down	director in common
Kingdom of Heaven	Body of Lies	director in common
Kingdom of Heaven	G.I. Jane	director in common
Kingdom of Heaven	White Squall	director in common
Kingdom of Heaven	A Good Year	director in common
Kingdom of Heaven	Black Rain	director in common
Kingdom of Heaven	Blade Runner	director in common
Kingdom of Heaven	The Counselor	director in common
Kingdom of Heaven	Alien	director in common
Stuart Little	The Haunted Mansion	director in common
Stuart Little	The Forbidden Kingdom	director in common
The Princess and the Frog	Treasure Planet	director in common
The Princess and the Frog	Aladdin	director in common
The Martian	Gladiator	director in common
The Martian	American Gangster	director in common
The Martian	Black Hawk Down	director in common
The Martian	Body of Lies	director in common
The Martian	G.I. Jane	director in common
The Martian	White Squall	director in common
The Martian	A Good Year	director in common
The Martian	Black Rain	director in common
The Martian	Blade Runner	director in common
The Martian	The Counselor	director in common
The Martian	Alien	director in common
The Island	The Rock	director in common
The Island	13 Hours	director in common
The Island	Pain & Gain	director in common
The Island	Bad Boys	director in common
The Island	Ghost World	 2 actors in common
Town & Country	Shall We Dance	director in common
Town & Country	Hannah Montana: The Movie	director in common
Town & Country	Serendipity	director in common
Town & Country	The Mighty	director in common
Gone in Sixty Seconds	Swordfish	director in common
Gone in Sixty Seconds	Whiteout	director in common
Gladiator	American Gangster	director in common
Gladiator	Black Hawk Down	director in common
Gladiator	Body of Lies	director in common
Gladiator	G.I. Jane	director in common
Gladiator	White Squall	director in common
Gladiator	A Good Year	director in common
Gladiator	Black Rain	director in common
Gladiator	Blade Runner	director in common
Gladiator	The Counselor	director in common
Gladiator	Alien	director in common
Minority Report	A.I. Artificial Intelligence	director in common
Minority Report	The Lost World: Jurassic Park	director in common
Minority Report	The Terminal	director in common
Minority Report	Munich	director in common
Minority Report	Hook	director in common
Minority Report	War Horse	director in common
Minority Report	Saving Private Ryan	director in common
Minority Report	Lincoln	director in common
Minority Report	Jurassic Park	director in common
Minority Report	Catch Me If You Can	director in common
Minority Report	Indiana Jones and the Last Crusade	director in common
Minority Report	Bridge of Spies	director in common
Minority Report	Amistad	director in common
Minority Report	1941	director in common
Minority Report	Indiana Jones and the Temple of Doom	director in common
Minority Report	Schindler's List	director in common
Minority Report	Raiders of the Lost Ark	director in common
Minority Report	Close Encounters of the Third Kind	director in common
Minority Report	The Color Purple	director in common
Minority Report	Jaws	director in common
Minority Report	E.T. the Extra-Terrestrial	director in common
Harry Potter and the Chamber of Secrets	Percy Jackson & the Olympians: The Lightning Thief	director in common
Harry Potter and the Chamber of Secrets	Pixels	director in common
Harry Potter and the Chamber of Secrets	Bicentennial Man	director in common
Harry Potter and the Chamber of Secrets	Stepmom	director in common
Harry Potter and the Chamber of Secrets	Rent	director in common
Harry Potter and the Chamber of Secrets	Mrs. Doubtfire	director in common
Harry Potter and the Chamber of Secrets	Home Alone 2: Lost in New York	director in common
Harry Potter and the Chamber of Secrets	I Love You, Beth Cooper	director in common
Harry Potter and the Chamber of Secrets	Home Alone	director in common
Casino Royale	The Legend of Zorro	director in common
Casino Royale	Vertical Limit	director in common
Casino Royale	The Mask of Zorro	director in common
Casino Royale	GoldenEye	director in common
Casino Royale	Edge of Darkness	director in common
Casino Royale	Beyond Borders	director in common
Planet of the Apes	Batman Returns	director in common
Planet of the Apes	Mars Attacks!	director in common
Planet of the Apes	Big Fish	director in common
Planet of the Apes	Frankenweenie	director in common
Planet of the Apes	Batman	director in common
Planet of the Apes	Corpse Bride	director in common
Planet of the Apes	Edward Scissorhands	director in common
Planet of the Apes	Ed Wood	director in common
Planet of the Apes	Beetlejuice	director in common
Planet of the Apes	Big Eyes	director in common
Terminator 2: Judgment Day	True Lies	director in common
Terminator 2: Judgment Day	The Abyss	director in common
Terminator 2: Judgment Day	Aliens	director in common
Terminator 2: Judgment Day	The Terminator	director in common
Public Enemies	Blackhat	director in common
Public Enemies	The Insider	director in common
Public Enemies	Collateral	director in common
Public Enemies	The Last of the Mohicans	director in common
American Gangster	Black Hawk Down	director in common
American Gangster	Body of Lies	director in common
American Gangster	G.I. Jane	director in common
American Gangster	White Squall	director in common
American Gangster	A Good Year	director in common
American Gangster	Black Rain	director in common
American Gangster	Blade Runner	director in common
American Gangster	The Counselor	director in common
American Gangster	Alien	director in common
True Lies	The Abyss	director in common
True Lies	Aliens	director in common
True Lies	The Terminator	director in common
The Taking of Pelham 1 2 3	Unstoppable	director in common
The Taking of Pelham 1 2 3	Spy Game	director in common
The Taking of Pelham 1 2 3	Enemy of the State	director in common
The Taking of Pelham 1 2 3	Days of Thunder	director in common
The Taking of Pelham 1 2 3	Man on Fire	director in common
The Taking of Pelham 1 2 3	Crimson Tide	director in common
The Taking of Pelham 1 2 3	The Fan	director in common
The Taking of Pelham 1 2 3	Domino	director in common
The Taking of Pelham 1 2 3	Beverly Hills Cop II	director in common
The Taking of Pelham 1 2 3	Top Gun	director in common
The Taking of Pelham 1 2 3	True Romance	director in common
Little Fockers	Meet the Fockers	 3 actors in common
Little Fockers	Meet the Parents	 3 actors in common
Little Fockers	Cirque du Freak: The Vampire's Assistant	director in common
Little Fockers	In Good Company	director in common
Little Fockers	American Dreamz	director in common
Little Fockers	Admission	director in common
Little Fockers	American Pie	director in common
The Other Guys	Talladega Nights: The Ballad of Ricky Bobby	director in common
The Other Guys	Step Brothers	director in common
The Other Guys	Anchorman 2: The Legend Continues	director in common
The Other Guys	The Big Short	director in common
The Other Guys	Anchorman: The Legend of Ron Burgundy	director in common
Eraser	The Scorpion King	director in common
Eraser	Bless the Child	director in common
Eraser	The Mask	director in common
Eraser	I Am Wrath	director in common
Eraser	A Nightmare on Elm Street 3: Dream Warriors	director in common
Django Unchained	Inglourious Basterds	director in common
Django Unchained	The Hateful Eight	director in common
Django Unchained	Kill Bill: Vol. 1	director in common
Django Unchained	Kill Bill: Vol. 2	director in common
Django Unchained	Jackie Brown	director in common
Django Unchained	Pulp Fiction	director in common
Django Unchained	Reservoir Dogs	director in common
The Hunchback of Notre Dame	Atlantis: The Lost Empire	director in common
The Emperor's New Groove	Chicken Little	director in common
The Emperor's New Groove	Cats Don't Dance	director in common
The Expendables 2	The Expendables 3	 2 actors in common
The Expendables 2	Lara Croft: Tomb Raider	director in common
The Expendables 2	The Expendables	 2 actors in common
The Expendables 2	Con Air	director in common
The Expendables 2	The General's Daughter	director in common
The Expendables 2	The Mechanic	director in common
The Expendables 2	Stolen	director in common
The Expendables 2	Wild Card	director in common
The Expendables 2	When a Stranger Calls	director in common
National Treasure	The Kid	director in common
National Treasure	World Trade Center	 2 actors in common
National Treasure	Instinct	director in common
National Treasure	Phenomenon	director in common
National Treasure	Last Vegas	director in common
National Treasure	Cool Runnings	director in common
Where the Wild Things Are	Her	director in common
Where the Wild Things Are	Adaptation.	director in common
Where the Wild Things Are	Being John Malkovich	director in common
Epic	Robots	director in common
Epic	Ice Age	director in common
The Tourist	The Lives of Others	director in common
End of Days	A Sound of Thunder	director in common
End of Days	The Relic	director in common
End of Days	The Musketeer	director in common
End of Days	Timecop	director in common
End of Days	Capricorn One	director in common
Blood Diamond	The Siege	director in common
Blood Diamond	Courage Under Fire	director in common
Blood Diamond	Legends of the Fall	director in common
Blood Diamond	Love & Other Drugs	director in common
Blood Diamond	Glory	director in common
The Wolf of Wall Street	Gangs of New York	director in common
The Wolf of Wall Street	The Departed	director in common
The Wolf of Wall Street	Shutter Island	director in common
The Wolf of Wall Street	Casino	director in common
The Wolf of Wall Street	Mean Streets	director in common
The Wolf of Wall Street	Cape Fear	director in common
The Wolf of Wall Street	The Age of Innocence	director in common
The Wolf of Wall Street	Bringing Out the Dead	director in common
The Wolf of Wall Street	Kundun	director in common
The Wolf of Wall Street	Goodfellas	director in common
The Wolf of Wall Street	Raging Bull	director in common
The Wolf of Wall Street	New York, New York	director in common
The Wolf of Wall Street	The Color of Money	director in common
The Wolf of Wall Street	The Last Temptation of Christ	director in common
The Wolf of Wall Street	Taxi Driver	director in common
The Wolf of Wall Street	Shine a Light	director in common
The Wolf of Wall Street	The Last Waltz	director in common
Batman Forever	Bad Company	director in common
Batman Forever	The Phantom of the Opera	director in common
Batman Forever	The Client	director in common
Batman Forever	A Time to Kill	director in common
Batman Forever	8MM	director in common
Batman Forever	The Number 23	director in common
Batman Forever	Flawless	director in common
Batman Forever	Flatliners	director in common
Batman Forever	Veronica Guerin	director in common
Batman Forever	Phone Booth	director in common
Batman Forever	The Lost Boys	director in common
Starship Troopers	Hollow Man	director in common
Starship Troopers	Showgirls	director in common
Starship Troopers	Black Book	director in common
Cloud Atlas	Perfume: The Story of a Murderer	director in common
Cloud Atlas	The International	director in common
Cloud Atlas	Run Lola Run	director in common
Cloud Atlas	3	director in common
Legend of the Guardians: The Owls of Ga'Hoole	Sucker Punch	director in common
Legend of the Guardians: The Owls of Ga'Hoole	300	director in common
Legend of the Guardians: The Owls of Ga'Hoole	Dawn of the Dead	director in common
Hercules	Rush Hour 2	director in common
Hercules	Tower Heist	director in common
Hercules	Red Dragon	director in common
Hercules	The Family Man	director in common
Hercules	After the Sunset	director in common
Hercules	Money Talks	director in common
Treasure Planet	Aladdin	director in common
Land of the Lost	Casper	director in common
Land of the Lost	City of Angels	director in common
Land of the Lost	Moonlight Mile	director in common
The Expendables 3	The Expendables	 2 actors in common
Son of the Mask	Cats & Dogs	director in common
In the Heart of the Sea	Cinderella Man	director in common
In the Heart of the Sea	A Beautiful Mind	director in common
In the Heart of the Sea	Ransom	director in common
In the Heart of the Sea	The Dilemma	director in common
In the Heart of the Sea	Apollo 13	director in common
In the Heart of the Sea	Edtv	director in common
In the Heart of the Sea	Rush	director in common
In the Heart of the Sea	Frost/Nixon	director in common
In the Heart of the Sea	Splash	director in common
The Adventures of Pluto Nash	Mighty Joe Young	director in common
The Adventures of Pluto Nash	Tremors	director in common
Green Zone	The Bourne Supremacy	director in common
Green Zone	Captain Phillips	director in common
Green Zone	United 93	director in common
Green Zone	Bloody Sunday	director in common
The Peanuts Movie	Ice Age: Continental Drift	director in common
The Spanish Prisoner	Redbelt	director in common
The Mummy Returns	Deep Rising	director in common
The Mummy Returns	The Adventures of Huck Finn	director in common
Gangs of New York	The Departed	director in common
Gangs of New York	Shutter Island	director in common
Gangs of New York	Casino	director in common
Gangs of New York	Mean Streets	director in common
Gangs of New York	Cape Fear	director in common
Gangs of New York	The Age of Innocence	director in common
Gangs of New York	Bringing Out the Dead	director in common
Gangs of New York	Kundun	director in common
Gangs of New York	Goodfellas	director in common
Gangs of New York	Raging Bull	director in common
Gangs of New York	New York, New York	director in common
Gangs of New York	The Color of Money	director in common
Gangs of New York	The Last Temptation of Christ	director in common
Gangs of New York	Taxi Driver	director in common
Gangs of New York	Shine a Light	director in common
Gangs of New York	The Last Waltz	director in common
The Flowers of War	Curse of the Golden Flower	director in common
The Flowers of War	Hero	director in common
The Flowers of War	House of Flying Daggers	director in common
The Flowers of War	A Woman, a Gun and a Noodle Shop	director in common
The Flowers of War	Coming Home	director in common
The Stepford Wives	The Score	director in common
The Stepford Wives	Bowfinger	director in common
The Stepford Wives	The Indian in the Cupboard	director in common
The Stepford Wives	The Producers	 2 actors in common
The Stepford Wives	In & Out	director in common
The Stepford Wives	Little Shop of Horrors	director in common
The Stepford Wives	Death at a Funeral	director in common
Black Hawk Down	Body of Lies	director in common
Black Hawk Down	G.I. Jane	director in common
Black Hawk Down	White Squall	director in common
Black Hawk Down	A Good Year	director in common
Black Hawk Down	Black Rain	director in common
Black Hawk Down	Blade Runner	director in common
Black Hawk Down	The Counselor	director in common
Black Hawk Down	Alien	director in common
The Campaign	Dinner for Schmucks	director in common
The Campaign	Austin Powers in Goldmember	director in common
The Campaign	Meet the Fockers	director in common
The Campaign	Meet the Parents	director in common
The Campaign	Austin Powers: The Spy Who Shagged Me	director in common
The Campaign	Mystery, Alaska	director in common
The Campaign	Austin Powers: International Man of Mystery	director in common
The Fifth Element	Arthur and the Invisibles	director in common
The Fifth Element	The Messenger: The Story of Joan of Arc	director in common
The Fifth Element	Lucy	director in common
The Fifth Element	Subway	director in common
Sex and the City 2	Sex and the City	 2 actors in common
The Road to El Dorado	Shark Tale	director in common
The Road to El Dorado	A Monster in Paris	director in common
Ice Age: Continental Drift	Pixels	 2 actors in common
Ice Age: Continental Drift	The Angry Birds Movie	 2 actors in common
Cinderella	Jack Ryan: Shadow Recruit	director in common
Cinderella	The Magic Flute	director in common
Cinderella	Hamlet	director in common
Cinderella	Henry V	director in common
Cinderella	Much Ado About Nothing	director in common
The Lovely Bones	The Lord of the Rings: The Return of the King	director in common
The Lovely Bones	The Lord of the Rings: The Two Towers	director in common
The Lovely Bones	Heavenly Creatures	director in common
The Lord of the Rings: The Return of the King	The Lord of the Rings: The Two Towers	director and 2 actors in common
The Lord of the Rings: The Return of the King	Heavenly Creatures	director in common
The Lord of the Rings: The Two Towers	Heavenly Creatures	director in common
Seventh Son	Nomad: The Warrior	director in common
Seventh Son	Mongol: The Rise of Genghis Khan	director in common
Lara Croft: Tomb Raider	Con Air	director in common
Lara Croft: Tomb Raider	The General's Daughter	director in common
Lara Croft: Tomb Raider	The Mechanic	director in common
Lara Croft: Tomb Raider	Stolen	director in common
Lara Croft: Tomb Raider	Wild Card	director in common
Lara Croft: Tomb Raider	When a Stranger Calls	director in common
Jurassic Park III	Hidalgo	director in common
Rise of the Planet of the Apes	Flyboys	 2 actors in common
Rise of the Planet of the Apes	The Gambler	director in common
The Spiderwick Chronicles	Just Like Heaven	director in common
The Spiderwick Chronicles	Mr. Popper's Penguins	director in common
The Spiderwick Chronicles	Freaky Friday	director in common
The Spiderwick Chronicles	Mean Girls	director in common
The Spiderwick Chronicles	Head Over Heels	director in common
A Good Day to Die Hard	Tears of the Sun	 2 actors in common
A Good Day to Die Hard	Flight of the Phoenix	director in common
A Good Day to Die Hard	Hart's War	 2 actors in common
A Good Day to Die Hard	Behind Enemy Lines	director in common
A Good Day to Die Hard	Max Payne	director in common
The Alamo	The Blind Side	director in common
The Alamo	Saving Mr. Banks	director in common
The Alamo	The Rookie	director in common
The Incredibles	The Iron Giant	director in common
Cutthroat Island	Exorcist: The Beginning	director in common
Cutthroat Island	Driven	director in common
Cutthroat Island	Die Hard 2	director in common
Cutthroat Island	The Legend of Hercules	director in common
Cutthroat Island	Cliffhanger	director in common
Cutthroat Island	The Long Kiss Goodnight	director in common
Cutthroat Island	Deep Blue Sea	director in common
Cutthroat Island	The Adventures of Ford Fairlane	director in common
Cutthroat Island	Mindhunters	director in common
Cutthroat Island	The Covenant	director in common
Cutthroat Island	12 Rounds	director in common
Cutthroat Island	A Nightmare on Elm Street 4: The Dream Master	director in common
Cutthroat Island	5 Days of War	director in common
Cutthroat Island	Prison	director in common
Percy Jackson & the Olympians: The Lightning Thief	Pixels	director in common
Percy Jackson & the Olympians: The Lightning Thief	Bicentennial Man	director in common
Percy Jackson & the Olympians: The Lightning Thief	Stepmom	director in common
Percy Jackson & the Olympians: The Lightning Thief	Rent	director in common
Percy Jackson & the Olympians: The Lightning Thief	Mrs. Doubtfire	director in common
Percy Jackson & the Olympians: The Lightning Thief	Home Alone 2: Lost in New York	director in common
Percy Jackson & the Olympians: The Lightning Thief	I Love You, Beth Cooper	director in common
Percy Jackson & the Olympians: The Lightning Thief	Home Alone	director in common
Men in Black	Big Trouble	director in common
Men in Black	Get Shorty	director in common
Men in Black	The Addams Family	director in common
Toy Story 2	Cars	director in common
Toy Story 2	A Bug's Life	director in common
Toy Story 2	Toy Story	director and 2 actors in common
Unstoppable	Spy Game	director in common
Unstoppable	Enemy of the State	director in common
Unstoppable	Days of Thunder	director in common
Unstoppable	Man on Fire	director in common
Unstoppable	Crimson Tide	director in common
Unstoppable	The Fan	director in common
Unstoppable	Domino	director in common
Unstoppable	Remember the Titans	 2 actors in common
Unstoppable	He Got Game	 2 actors in common
Unstoppable	Beverly Hills Cop II	director in common
Unstoppable	Top Gun	director in common
Unstoppable	True Romance	director in common
Rush Hour 2	Tower Heist	director in common
Rush Hour 2	Red Dragon	director in common
Rush Hour 2	The Family Man	director in common
Rush Hour 2	After the Sunset	director in common
Rush Hour 2	Money Talks	director in common
What Lies Beneath	Contact	director in common
What Lies Beneath	Cast Away	director in common
What Lies Beneath	Forrest Gump	director in common
What Lies Beneath	Death Becomes Her	director in common
What Lies Beneath	Back to the Future Part II	director in common
What Lies Beneath	Back to the Future Part III	director in common
What Lies Beneath	The Walk	director in common
What Lies Beneath	Flight	director in common
What Lies Beneath	Back to the Future	director in common
Cloudy with a Chance of Meatballs	The Lego Movie	director in common
Cloudy with a Chance of Meatballs	22 Jump Street	director in common
Cloudy with a Chance of Meatballs	21 Jump Street	director in common
Ice Age: Dawn of the Dinosaurs	Rio	director in common
Ice Age: Dawn of the Dinosaurs	Ice Age: The Meltdown	director in common
The Secret Life of Walter Mitty	Tropic Thunder	director in common
The Secret Life of Walter Mitty	Zoolander 2	director in common
The Secret Life of Walter Mitty	The Cable Guy	director in common
The Secret Life of Walter Mitty	Zoolander	director in common
Charlie's Angels	This Means War	director in common
Charlie's Angels	We Are Marshall	director in common
Charlie's Angels	3 Days to Kill	director in common
The Departed	Shutter Island	director in common
The Departed	Casino	director in common
The Departed	Mean Streets	director in common
The Departed	Cape Fear	director in common
The Departed	The Age of Innocence	director in common
The Departed	Bringing Out the Dead	director in common
The Departed	Kundun	director in common
The Departed	Goodfellas	director in common
The Departed	Raging Bull	director in common
The Departed	New York, New York	director in common
The Departed	The Color of Money	director in common
The Departed	The Last Temptation of Christ	director in common
The Departed	Taxi Driver	director in common
The Departed	Shine a Light	director in common
The Departed	The Last Waltz	director in common
Tropic Thunder	Zoolander 2	director in common
Tropic Thunder	The Cable Guy	director in common
Tropic Thunder	Zoolander	director in common
The Girl with the Dragon Tattoo	Zodiac	director in common
The Girl with the Dragon Tattoo	Fight Club	director in common
The Girl with the Dragon Tattoo	Gone Girl	director in common
The Girl with the Dragon Tattoo	Alien 3	director in common
The Girl with the Dragon Tattoo	The Game	director in common
The Girl with the Dragon Tattoo	Panic Room	director in common
The Girl with the Dragon Tattoo	The Social Network	director in common
The Girl with the Dragon Tattoo	Se7en	director in common
Die Hard with a Vengeance	Last Action Hero	director in common
Die Hard with a Vengeance	Rollerball	director in common
Die Hard with a Vengeance	Basic	director in common
Die Hard with a Vengeance	The Thomas Crown Affair	director in common
Die Hard with a Vengeance	Medicine Man	director in common
Die Hard with a Vengeance	The Hunt for Red October	director in common
Die Hard with a Vengeance	Die Hard	director in common
Die Hard with a Vengeance	Predator	director in common
Sherlock Holmes	The Man from U.N.C.L.E.	director in common
Sherlock Holmes	RocknRolla	director in common
Sherlock Holmes	Snatch	director in common
Sherlock Holmes	Swept Away	director in common
Sherlock Holmes	Lock, Stock and Two Smoking Barrels	director in common
Ben-Hur	Wanted	director in common
Ben-Hur	Abraham Lincoln: Vampire Hunter	director in common
Ben-Hur	Night Watch	director in common
Alvin and the Chipmunks: The Road Chip	Wild Hogs	director in common
Alvin and the Chipmunks: The Road Chip	Old Dogs	director in common
Alvin and the Chipmunks: The Road Chip	Van Wilder: Party Liaison	director in common
Valkyrie	X-Men	director in common
Valkyrie	The Usual Suspects	director in common
You Don't Mess with the Zohan	Grown Ups 2	director in common
You Don't Mess with the Zohan	Just Go with It	director and 2 actors in common
You Don't Mess with the Zohan	Jack and Jill	director in common
You Don't Mess with the Zohan	Grown Ups	director in common
You Don't Mess with the Zohan	The Benchwarmers	director in common
You Don't Mess with the Zohan	Big Daddy	director in common
You Don't Mess with the Zohan	Saving Silverman	director in common
You Don't Mess with the Zohan	Happy Gilmore	director and 2 actors in common
Pixels	Bicentennial Man	director in common
Pixels	The Angry Birds Movie	 2 actors in common
Pixels	Stepmom	director in common
Pixels	Rent	director in common
Pixels	Mrs. Doubtfire	director in common
Pixels	Home Alone 2: Lost in New York	director in common
Pixels	I Love You, Beth Cooper	director in common
Pixels	Home Alone	director in common
A.I. Artificial Intelligence	The Lost World: Jurassic Park	director in common
A.I. Artificial Intelligence	The Terminal	director in common
A.I. Artificial Intelligence	Munich	director in common
A.I. Artificial Intelligence	Hook	director in common
